text,label,notes,game
prolly the worst game i've played in a while so boring nothing to do AND THE ZOMBIES ARE SO DUMB BECAUSE I FORGOT TO SAVE BEFORE GETTING THE ARMOUR KEY SO WHEN I WENT BACK PAST THE DOGS NEAR THE BROKEN WINDOW SO I CAN GET TO A SAVE WHEN IM ALMOST THERE ZOMBIES BREAK THROUGH A WINDOW I RUN PAST THEM OPEN A DOOR WALK 5 FEET 3 RANDOM ZOMBIES WERE THERE AND THEY WERENT EVEN CRIMSION HEADS AND IT TOOK ME SO LONG TO GET THERE BECAUSE IT WAS SO ♥♥♥♥♥♥♥ BORING SO I GOT BIT BY A ZOMBIE 1 SECOND LATER I GOT BIT AGAIN THEN AGAIN AND I HAD ALL MY HEALING ITEMS AND INK RIBBIONS IN A ITEM BOX WHO CAME UP WITH THIS ♥♥♥♥♥♥♥♥ OF ♥♥♥♥?? this game is boring and i hate it and re3 nemesis is so much better and its so cool and more fun and has better gameplay and puzzles ♥♥♥ re1 original re1 is better this game is the worst resident evil game ever and all the people who say its good are all shills. REGRET BUYING THIS SLOP. THIS. SUCKS. N.G.L HATE THIS GAME,,,Resident Evil (2015 Remake)
"Got a cat here. Friends passing by can touch her and click Like to pet her once. Award for infinite pets :)
⠀⠀⠀⠀⠀⠀⠀⠀⠀ ＿＿
　　　　　／＞　　フ
　　　　　| 　_　 _ l
　 　　　／` ミ＿xノ
　　 　 /　　　 　 |
　　　 /　 ヽ　　 ﾉ
　 　 │　　|　|　|
　／￣|　　 |　|　|
　| (￣ヽ＿_ヽ_)__)
　＼二つ",,,Resident Evil (2015 Remake)
"This was my first ever Resident Evil game, and my first ever survival horror game too — honestly didn't expect it to hit this hard.

Played through Leon's campaign in one long sitting — couldn't put it down. The atmosphere in the RPD is incredible, the resource management actually makes you think, and the tension never lets up. Every bullet feels like it matters, every save room feels like a tiny relief before the next nightmare.
Going in blind to both the genre and the franchise, I expected to be overwhelmed. Instead I'm hooked.",,,Resident Evil 2 (2019 Remake)
"Ну типичный резик чё. ходишь и стреляешь. Но катсцены с Джилл это стрела в сердце, так нельзя.",,,Resident Evil 3 (2020 Remake)
"Chris punching a boulder

7.9/10",,,Resident Evil 5
There is a resident and They are evil,,,Resident Evil 5
fun ahh game put wesker in tekken,,,Resident Evil 5
7 minutes. 7 minutes is all I need to type this review.,,,Resident Evil 5
